"frame", "color", "size", "intensity", "x_pos", "y_pos", "id"
"0002.tif", "G", 1136, 0.0502800146572238, 339.723591549296, 240.883802816901, 78
"0002.tif", "G", 984, 0.0505566241423514, 1073.61178861789, 593.782520325203, 15
"0002.tif", "G", 1050, 0.0519840547799826, 900.83619047619, 975.135238095238, 109
"0002.tif", "G", 860, 0.0518607215808098, 762.66511627907, 814.8, 22
"0002.tif", "G", 632, 0.0479950066797218, 114.401898734177, 742.243670886076, 188
"0002.tif", "G", 680, 0.0494789817310323, 709.9, 344.097058823529, 19
"0002.tif", "G", 612, 0.0491413390959699, 1174.22549019608, 598.25816993464, 89
"0002.tif", "G", 440, 0.0476025864216369, 135.668181818182, 621.377272727273, 11
"0002.tif", "G", 624, 0.051506565311876, 660.711538461538, 672.522435897436, 17
"0002.tif", "G", 384, 0.0506481500763161, 810.979166666667, 889.880208333333, 39
"0002.tif", "G", 430, 0.0495392882694722, 629.227906976744, 1432.51162790698, 21
"0002.tif", "G", 420, 0.0474647025215314, 1490.63333333333, 1268.19047619048, 231
"0002.tif", "G", 370, 0.0484603148540869, 1237.16216216216, 193.394594594595, 119
"0002.tif", "G", 400, 0.0475929741204202, 1433.53, 1280.62, 85
"0002.tif", "G", 234, 0.0492326255825395, 1225.59829059829, 723.282051282051, 91
"0002.tif", "G", 226, 0.0443850312292903, 1354.43362831858, 64.8141592920354, 110
"0003.tif", "G", 2908, 0.0614493522760198, 713.237964236589, 800.591471801926, 9
"0003.tif", "G", 2738, 0.0548050057737675, 351.837107377648, 715.264426588751, 18
"0003.tif", "G", 2678, 0.055226731492905, 478.454070201643, 697.357729648992, 60
"0003.tif", "G", 2588, 0.0536141662834789, 1163.6800618238, 682.370942812983, 199
"0003.tif", "G", 2392, 0.0537282289281012, 413.135451505017, 599.703177257525, 24
"0003.tif", "G", 2386, 0.0530341442520135, 575.633696563286, 612.584241408215, 1
"0003.tif", "G", 2220, 0.051801936520387, 1078.07477477477, 1372.99099099099, 75
"0003.tif", "G", 2330, 0.0517358515847632, 591.537339055794, 441.657510729614, 45
"0003.tif", "G", 2224, 0.0523418736886792, 1133.25089928058, 904.711330935252, 7
"0003.tif", "G", 2024, 0.0517178260985911, 213.312252964427, 499.699604743083, 5
"0003.tif", "G", 2022, 0.0515724380593918, 916.1137487636, 721.575667655786, 108
"0003.tif", "G", 2146, 0.0523678136879604, 1195.01770736254, 1102.42590866729, 47
"0003.tif", "G", 2030, 0.052110387244932, 993.289655172414, 772.028571428571, 122
"0003.tif", "G", 2442, 0.0543734032752513, 294.423423423423, 873.472563472563, 25
"0003.tif", "G", 2008, 0.052068448750444, 517.232071713147, 1075.38545816733, 117
"0003.tif", "G", 2154, 0.0518448321499501, 490.802228412256, 455.226555246054, 81
